# Y2 Isochrone with Feh = -1.26, alpha=0.40, age=10.00
# Teff	logg
3492.207 4.825
3569.439 4.822
3649.220 4.819
3730.783 4.817
3814.170 4.814
3898.522 4.812
3985.658 4.809
4073.803 4.806
4162.939 4.803
4253.045 4.800
4344.102 4.794
4436.086 4.788
4527.933 4.781
4620.617 4.772
4714.113 4.764
4809.501 4.754
4904.559 4.744
5002.649 4.735
5098.002 4.724
5193.977 4.711
5289.322 4.697
5383.937 4.681
5477.722 4.663
5570.575 4.643
5655.878 4.615
5737.200 4.585
5818.352 4.553
5896.577 4.519
5971.728 4.482
6038.096 4.439
6095.369 4.390
6150.352 4.340
6201.546 4.288
6238.785 4.229
6248.849 4.158
6220.138 4.080
6151.769 4.004
6060.382 3.940
5963.483 3.888
5866.783 3.843
5771.650 3.802
5679.368 3.763
5592.423 3.721
5509.345 3.676
5437.509 3.623
5377.742 3.561
5332.121 3.494
5299.074 3.426
5273.513 3.358
5251.701 3.292
5231.184 3.228
5211.947 3.165
5193.977 3.103
5172.494 3.042
5151.100 2.982
5128.614 2.923
5107.402 2.865
5085.106 2.808
5064.073 2.752
5041.967 2.697
5018.801 2.643
4994.592 2.590
4971.644 2.538
4948.801 2.487
4926.063 2.437
4901.173 2.388
4879.777 2.340
4859.594 2.292
4839.494 2.246
4818.368 2.201
4796.230 2.157
4774.193 2.113
4751.164 2.070
4730.423 2.027
4709.773 1.986
4688.134 1.945
4666.594 1.905
4646.222 1.866
4624.875 1.827
4603.626 1.789
4583.529 1.752
4563.520 1.716
4543.599 1.680
4523.765 1.645
4505.054 1.610
4485.388 1.576
4466.836 1.542
4448.361 1.510
4429.962 1.477
4412.655 1.446
4395.416 1.414
4378.244 1.383
4361.140 1.353
4345.102 1.323
4328.127 1.294
4312.211 1.266
4295.364 1.237
4280.554 1.210
4264.813 1.182
4250.108 1.155
4234.479 1.129
4219.879 1.103
4205.329 1.077
4191.795 1.052
4177.342 1.027
4163.897 1.002
4150.496 0.978
4137.138 0.954
4124.772 0.931
4111.497 0.908
4099.208 0.885
4086.015 0.863
4073.803 0.841
4061.627 0.819
4050.419 0.797
4038.313 0.776
4026.243 0.756
4015.134 0.735
4004.055 0.715
3993.006 0.695
3981.988 0.675
3971.001 0.656
3960.956 0.637
3950.026 0.618
3940.034 0.600
3930.067 0.581
3920.126 0.563
3911.110 0.545
3901.216 0.527
3892.243 0.510
3883.292 0.493
3874.360 0.476
3865.449 0.459
3856.559 0.442
3847.689 0.426
3839.724 0.410
3830.893 0.394
3822.962 0.378
3815.048 0.362
3807.150 0.347
