# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Mon Sep  5 21:24:40 CEST 2016
# isochrones PARSEC release v1.2S + COLIBRI release PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Rosenfield et al. (2016, arXiv:1603.05283)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00087	Y = 0.24981	[M/H] = -1.249	eta_R = 0.200	Age = 	1.1780e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	slope	int_IMF	stage
	0.000875	10.0711	0.6412464380	0.6410	-0.4932	3.7390	4.6459	6.003	6.799	6.833	6.185	5.756	5.372	4.890	4.507	4.440	0.4787	0.0000	0.0	1	-12.732	0.000	2.9866182804	1
	0.000875	10.0711	0.6499999762	0.6498	-0.4549	3.7443	4.6348	5.907	6.648	6.709	6.081	5.662	5.286	4.817	4.445	4.381	0.4787	0.0000	0.0	1	-12.662	0.000	2.9923686981	1
	0.000875	10.0711	0.6548819542	0.6546	-0.4336	3.7470	4.6276	5.854	6.567	6.641	6.023	5.609	5.237	4.776	4.408	4.346	0.4787	0.0000	0.0	1	-12.624	0.000	2.9955110550	1
	0.000875	10.0711	0.6680595875	0.6678	-0.3754	3.7542	4.6067	5.709	6.352	6.459	5.867	5.467	5.106	4.663	4.308	4.251	0.4787	0.0000	0.0	1	-12.521	0.000	3.0037705898	1
	0.000875	10.0711	0.6802595258	0.6800	-0.3206	3.7606	4.5855	5.572	6.156	6.289	5.721	5.334	4.983	4.556	4.213	4.159	0.4787	0.0000	0.0	1	-12.428	0.000	3.0111405849	1
	0.000875	10.0711	0.6914672256	0.6911	-0.2692	3.7663	4.5640	5.443	5.981	6.135	5.587	5.210	4.868	4.454	4.121	4.070	0.4787	0.0000	0.0	1	-12.345	0.000	3.0176889896	1
	0.000875	10.0711	0.6999999881	0.6996	-0.2291	3.7705	4.5461	5.343	5.848	6.016	5.482	5.114	4.778	4.374	4.048	4.000	0.4787	0.0000	0.0	1	-12.282	0.000	3.0225379467	1
	0.000875	10.0711	0.7102542520	0.7099	-0.1793	3.7754	4.5219	5.218	5.688	5.871	5.354	4.995	4.668	4.275	3.957	3.913	0.4787	0.0000	0.0	1	-12.211	0.000	3.0282158852	1
	0.000875	10.0711	0.7211677432	0.7207	-0.1243	3.7803	4.4932	5.081	5.516	5.711	5.212	4.864	4.545	4.164	3.854	3.814	0.4787	0.0000	0.0	1	-12.134	0.000	3.0340867043	1
	0.000875	10.0711	0.7314907312	0.7310	-0.0695	3.7847	4.4624	4.944	5.352	5.554	5.073	4.736	4.424	4.051	3.745	3.709	0.4787	0.0000	0.0	1	-12.060	0.000	3.0394835472	1
