# Y2 Isochrone with Feh = -1.59, alpha=0.40, age=10.00
# Teff	logg
3669.442 4.853
3748.004 4.849
3829.129 4.846
3911.110 4.842
3995.766 4.837
4081.314 4.833
4167.734 4.827
4256.964 4.822
4346.103 4.816
4437.108 4.811
4528.976 4.805
4622.746 4.798
4716.285 4.792
4811.716 4.785
4907.949 4.777
5004.953 4.769
5103.875 4.761
5201.157 4.750
5295.415 4.735
5388.898 4.718
5481.507 4.699
5571.857 4.678
5661.089 4.653
5747.778 4.627
5829.080 4.595
5906.089 4.561
5982.738 4.526
6056.197 4.487
6126.325 4.446
6190.133 4.401
6256.047 4.359
6324.119 4.317
6387.045 4.273
6437.244 4.221
6456.542 4.154
6429.838 4.077
6357.700 4.004
6267.582 3.941
6171.632 3.886
6077.151 3.838
5982.738 3.793
5889.793 3.752
5800.962 3.713
5713.471 3.675
5631.188 3.633
5556.483 3.583
5494.144 3.527
5443.773 3.465
5406.298 3.402
5375.266 3.338
5350.569 3.275
5328.439 3.213
5308.844 3.153
5288.104 3.093
5267.445 3.035
5248.075 2.977
5228.776 2.921
5209.547 2.866
5190.390 2.811
5171.303 2.758
5149.914 2.705
5129.795 2.654
5108.578 2.603
5088.620 2.553
5067.573 2.504
5047.775 2.456
5028.055 2.409
5008.411 2.362
4987.696 2.317
4969.355 2.272
4949.941 2.228
4930.603 2.185
4910.209 2.143
4893.279 2.101
4874.162 2.060
4855.120 2.020
4835.039 1.981
4816.150 1.942
4796.230 1.904
4777.492 1.867
4758.828 1.831
4741.328 1.795
4722.805 1.759
4704.354 1.725
4687.054 1.690
4668.743 1.657
4651.575 1.624
4634.469 1.592
4617.427 1.560
4600.447 1.529
4584.585 1.498
4568.777 1.468
4553.025 1.438
4537.326 1.408
4521.682 1.380
4506.091 1.351
4490.555 1.324
4475.072 1.296
4460.669 1.270
4445.289 1.243
4430.982 1.217
4416.721 1.191
4402.506 1.166
4389.348 1.141
4375.221 1.117
4362.144 1.093
4349.106 1.069
4336.107 1.046
4323.147 1.023
4310.226 1.000
4297.343 0.978
4285.485 0.956
4273.660 0.934
4260.887 0.913
4249.130 0.892
4238.381 0.871
4226.686 0.851
4215.023 0.831
4204.361 0.811
4192.760 0.791
4182.154 0.772
4171.574 0.753
4161.980 0.734
4151.452 0.716
4140.950 0.698
4131.426 0.680
4121.924 0.662
4112.444 0.644
4102.986 0.627
4093.549 0.610
4084.134 0.593
4075.679 0.576
4066.305 0.560
4057.887 0.544
4049.487 0.528
4041.104 0.512
4032.738 0.496
4024.389 0.481
4016.983 0.466
4008.667 0.451
